Rank,Lane,Hero Name,Tier,Win Rate (%),Ban Rate (%),Pick rate (%),Roles,Speciality
1,,Floryn,SS,58.78,85.48,1.07,Support,"Poke
Guard"
2,,Kalea,SS,55.16,96.43,0.71,"Support
Fighter","Control
Regen"
3,,Lukas,SS,52.33,84.43,1.55,Fighter,"Regen
Damage"
4,,Hayabusa,SS,51.82,87.58,1.17,Assassin,Chase
5,,Kimmy,SS,53.28,57.88,2.49,"Marksman
Mage","Damage
Magic DMG"
6,,Irithel,S,57.00,4.37,2.58,Marksman,Finisher
7,,Selena,S,48.25,44.57,2.52,"Assassin
Mage","Initiator
Finisher"
8,,Gloo,S,53.87,34.65,0.77,Tank,Regen
9,,Badang,S,52.57,17.96,2.56,Fighter,Charge
10,,Fanny,S,45.24,62.24,1.11,Assassin,Chase
11,,Hanzo,S,47.82,52.54,0.68,Assassin,Burst
12,,Lolita,S,59.47,0.87,0.32,"Support
Tank","Guard
CC"
13,,Wanwan,S,56.15,6.31,1.28,Marksman,Finisher
14,,Fredrinn,S,52.97,17.77,1.09,"Fighter
Tank","Damage
Chase"
15,,Chip,S,52.28,24.03,0.42,"Support
Tank","Support
CC"
16,,Julian,S,52.62,12.74,1.37,"Fighter
Mage","Chase
Magic DMG"
17,,Joy,S,49.29,30.27,1.08,Assassin,Chase
18,,Angela,S,51.71,7.05,2.19,Support,Guard
19,,Diggie,S,56.49,2.50,0.27,Support,Guard
20,,Baxia,S,54.80,4.73,0.75,Tank,Support
21,,Mathilda,S,51.19,17.15,1.04,"Support
Assassin","Initiator
Guard"
22,,Yi Sun-shin,S,52.06,7.83,1.52,"Assassin
Marksman","Finisher
Chase"
23,,Freya,A,52.95,10.82,0.54,Fighter,Chase
24,,Gatotkaca,A,52.30,1.23,1.86,"Tank
Fighter","CC
Burst"
25,,Phoveus,A,51.93,6.45,1.47,Fighter,Chase
26,,Argus,A,52.96,4.87,0.62,Fighter,Charge
27,,Melissa,A,53.43,1.54,0.74,Marksman,Finisher
28,,Zhuxin,A,51.10,11.70,0.77,Mage,"Damage
CC"
29,,Moskov,A,51.53,0.47,1.73,Marksman,Finisher
30,,Xavier,A,52.45,0.23,1.26,Mage,Damage
31,,Popol and Kupa,A,54.22,0.21,0.38,Marksman,Push
32,,Alice,A,53.67,1.81,0.30,"Mage
Tank","Charge
Regen"
33,,Alucard,A,52.84,0.53,0.75,"Fighter
Assassin","Chase
Damage"
34,,Masha,A,53.76,0.24,0.26,"Fighter
Tank","Push
Damage"
35,,Granger,A,44.65,12.89,3.26,Marksman,Burst
36,,Cici,A,50.37,1.85,1.49,Fighter,Damage
37,,Sun,A,51.27,2.02,0.95,Fighter,Push
38,,Cecilion,A,50.36,0.63,1.50,Mage,Poke
39,,Minotaur,A,52.88,0.10,0.29,"Tank
Support",CC
40,,Brody,A,50.88,1.12,1.16,Marksman,Burst
41,,Pharsa,A,50.14,0.39,1.60,Mage,Burst
42,,Carmilla,A,52.13,0.34,0.58,"Support
Tank","CC
Damage"
43,,Ling,A,49.60,2.15,1.48,Assassin,Chase
44,,Belerick,A,50.54,1.99,1.03,Tank,CC
45,,Khaleed,A,52.18,0.06,0.40,Fighter,Damage
46,,Zhask,A,52.09,0.14,0.43,Mage,Chase
47,,Gord,A,52.05,0.09,0.42,Mage,Poke
48,,Saber,A,49.62,9.84,0.57,Assassin,Charge
49,,Khufra,B,51.46,0.36,0.47,Tank,Initiator
50,,Layla,B,48.99,1.58,1.47,Marksman,Finisher
51,,Miya,B,49.84,0.95,1.11,Marksman,Finisher
52,,Hilda,B,51.21,0.26,0.51,"Fighter
Tank","Damage
Regen"
53,,Faramis,B,51.68,0.16,0.16,"Support
Mage","Guard
Charge"
54,,Eudora,B,50.07,1.92,0.73,Mage,Control
55,,Lunox,B,50.83,0.11,0.52,Mage,Burst
56,,Chang'e,B,48.53,1.03,1.55,Mage,Poke
57,,Bane,B,51.22,0.06,0.31,"Fighter
Mage","Push
Burst"
58,,Franco,B,45.87,6.95,2.19,Tank,Initiator
59,,Vexana,B,49.77,0.15,0.97,Mage,Poke
60,,Edith,B,51.19,0.06,0.25,"Tank
Marksman","Control
Burst"
61,,Suyou,B,46.96,7.06,1.53,"Assassin
Fighter","Chase
Burst"
62,,Zilong,B,49.39,0.57,0.95,"Fighter
Assassin","Chase
Damage"
63,,Minsitthar,B,50.22,0.67,0.50,Fighter,Initiator
64,,Leomord,B,50.74,0.07,0.26,Fighter,Chase
65,,Helcurt,B,50.02,0.99,0.50,Assassin,Push
66,,Terizla,B,50.32,0.08,0.44,Fighter,Burst
67,,Hylos,B,49.49,0.42,0.81,Tank,Guard
68,,Cyclops,B,50.14,0.08,0.50,Mage,Poke
69,,Clint,B,49.24,1.08,0.83,Marksman,Finisher
70,,Kaja,B,50.57,0.24,0.25,"Support
Fighter","Control
Charge"
71,,Estes,B,47.71,8.86,0.71,Support,Regen
72,,Guinevere,B,49.44,0.20,0.76,Fighter,Burst
73,,Hanabi,B,48.81,0.44,1.03,Marksman,Finisher
74,,Ruby,B,49.85,0.09,0.54,Fighter,CC
75,,Ixia,B,50.08,0.12,0.40,Marksman,Finisher
76,,Aulus,B,50.53,0.05,0.13,Fighter,Damage
77,,Odette,B,49.98,0.05,0.39,Mage,Burst
78,,Benedetta,B,49.29,0.26,0.68,"Assassin
Fighter","Chase
Burst"
79,,Yve,B,50.41,0.04,0.13,Mage,Burst
80,,Novaria,B,49.30,0.23,0.64,Mage,Burst
81,,Luo Yi,B,49.36,0.24,0.58,Mage,Support
82,,Harith,B,48.78,0.44,0.84,Mage,Chase
83,,Vale,B,48.79,0.14,0.80,Mage,Burst
84,,Akai,B,49.61,0.15,0.38,Tank,Guard
85,,Kagura,C,48.91,0.16,0.69,Mage,Poke
86,,Rafaela,C,49.80,0.18,0.22,Support,Regen
87,,Harley,C,48.88,0.82,0.51,"Assassin
Mage","Burst
Poke"
88,,Alpha,C,47.42,0.32,1.27,Fighter,Charge
89,,Valir,C,48.72,0.27,0.62,Mage,Damage
90,,Aamon,C,49.39,0.13,0.28,Assassin,Chase
91,,Tigreal,C,45.98,2.09,1.74,Tank,CC
92,,Bruno,C,49.13,0.05,0.37,Marksman,Finisher
93,,Natan,C,49.13,0.08,0.36,Marksman,Burst
94,,Barats,C,49.43,0.05,0.14,"Tank
Fighter","Damage
CC"
95,,Yu Zhong,C,48.44,0.10,0.58,Fighter,Regen
96,,X.Borg,C,48.35,0.18,0.60,Fighter,Regen
97,,Aurora,C,48.77,0.05,0.38,Mage,CC
98,,Karina,C,47.30,3.61,0.70,Assassin,Finisher
99,,Kadita,C,48.80,0.05,0.27,"Mage
Assassin","Burst
Charge"
100,,Silvanna,C,48.76,0.04,0.29,Fighter,Initiator
101,,Atlas,C,48.52,0.18,0.39,Tank,CC
102,,Chou,D,46.06,1.25,1.37,Fighter,Chase
103,,Yin,D,47.94,1.22,0.45,"Fighter
Assassin","Burst
Control"
104,,Johnson,D,47.61,0.47,0.67,"Tank
Support","Support
CC"
105,,Jawhead,D,48.17,0.09,0.41,Fighter,Charge
106,,Natalia,D,48.43,0.29,0.18,Assassin,Chase
107,,Uranus,D,48.16,0.04,0.21,Tank,Regen
108,,Lylia,D,47.85,0.04,0.36,Mage,Push
109,,Arlott,D,48.02,0.08,0.27,"Fighter
Assassin","Charge
Burst"
110,,Karrie,D,46.38,0.28,0.77,Marksman,Finisher
111,,Aldous,D,47.24,0.12,0.26,Fighter,Burst
112,,Beatrix,D,46.61,0.08,0.57,Marksman,Finisher
113,,Nolan,D,46.77,0.18,0.24,Assassin,Chase
114,,Lapu-Lapu,D,46.64,0.02,0.22,Fighter,Chase
115,,Thamuz,D,46.60,0.03,0.23,Fighter,Chase
116,,Roger,D,46.07,0.05,0.31,"Fighter
Marksman","Finisher
Burst"
117,,Martis,D,45.90,0.08,0.33,Fighter,Finisher
118,,Nana,D,44.60,0.64,0.85,Mage,Poke
119,,Claude,D,44.73,0.06,0.60,Marksman,Burst
120,,Dyrroth,D,44.90,0.08,0.42,Fighter,Charge
121,,Valentina,D,44.60,0.27,0.35,Mage,Burst
122,,Grock,D,45.20,0.03,0.07,"Tank
Fighter","CC
Initiator"
