Hero Name,Role,Tier,Win Rate (%),Popularity (%),Ban Rate (%),Pick rate (%),Scaling Rating,Recommended Lane,Second Lane,Cooldown Rating,Item Dependency Rating,Mobility Rating,Crowd Control Rating,Base Stats Growth Rating,Ultimate Impact Rating_All Game Phases,Ultimate Impact Rating_Early Game,Ultimate Impact Rating_Late Game,Ultimate Impact Rating_Mid Game,Ultimate Impact Rating_Support,Strength Rating (%)
Granger,Marksman,A,0.4465,3.31,0.12890000000000001,3.26,1.0,-1,-1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,83.85
Selena,Assassin/Mage,S,0.4825,2.85,0.4457,2.52,0.0,-1,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,76.89
Franco,Tank,B,0.4587,1.72,0.0695,2.19,0.0,4,-1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,67.24
Badang,Fighter,S,0.5257000000000001,2.68,0.1796,2.56,0.0,3,4,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,65.58
Irithel,Marksman,S,0.57,2.09,0.0437,2.58,1.0,-1,-1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,64.88
Angela,Support,S,0.5171,2.21,0.0705,2.19,0.0,4,-1,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,64.16
Lukas,Fighter,SS,0.5233,2.04,0.8443,1.55,1.0,3,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,64.14
Suyou,Fighter/Assassin,B,0.4696,2.35,0.0706,1.53,1.0,0,-1,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,61.95
Moskov,Marksman,A,0.5153,1.95,0.004699999999999999,1.73,1.0,-1,-1,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,59.96
Kimmy,Marksman/Mage,SS,0.5328,1.64,0.5788,2.49,1.0,-1,-1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59.52
Cecilion,Mage,A,0.5036,2.84,0.0063,1.5,1.0,-1,-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,56.55
Fredrinn,Fighter/Tank,S,0.5297,1.27,0.1777,1.09,1.0,0,-1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,53.78
Hayabusa,Assassin,SS,0.5182,1.65,0.8758,1.17,1.0,0,-1,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,51.44
Cici,Fighter,A,0.5036999999999999,1.82,0.018500000000000003,1.49,0.0,3,-1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,51.25
